neg_preference,cost,co2
-6.8999998569488525,10.330000000000002,2.0
-16.600000321865082,4.83,19.3
-101.29999957233667,37.199999999999996,66.80000000000001
-2.700000047683716,3.09,2.6
-101.29999957233667,37.199999999999996,66.80000000000001
-84.50000093132257,46.260000000000005,33.699999999999996
-78.30000221729279,31.359999999999996,29.3
-84.30000150203705,40.84,28.800000000000004
-84.50000093132257,46.260000000000005,33.699999999999996
-99.60000169277191,40.68000000000001,50.599999999999994
-91.5,27.73,65.2
-8.899999856948853,9.52,3.6
-89.20000014454126,22.649999999999995,56.699999999999996
-15.899999618530273,7.27,3.5999999999999996
-91.09999985992908,29.65,59.0
-32.0,7.9399999999999995,5.5
-98.69999980926514,25.64,66.10000000000001
-88.99999928474426,21.56,47.59999999999999
-25.599999010562897,6.71,12.3
-72.30000004917383,19.21,33.699999999999996
-37.60000014305115,17.080000000000002,10.200000000000001
-86.29999989271164,18.44,37.0
-67.00000095367432,24.970000000000002,19.700000000000003
-69.79999995231628,17.48,30.599999999999998
-73.80000078678131,15.329999999999998,37.5
-74.00000035762787,13.329999999999998,39.4
-91.5,27.73,65.2
-61.900000512599945,20.37,16.7
-90.80000007152557,26.279999999999998,62.0
-32.90000009536743,6.67,13.8
-36.400000154972076,8.110000000000001,9.300000000000002
-64.29999995231628,12.670000000000002,42.4
-41.10000014305115,11.05,12.3
-56.799999713897705,11.879999999999999,23.7
-43.600001096725464,16.15,13.0
-23.700000286102295,9.509999999999998,5.5
-65.40000063180923,13.560000000000002,26.7
-89.20000014454126,22.649999999999995,56.699999999999996
-90.80000007152557,26.279999999999998,62.0
-4.0,3.2199999999999998,3.5
-83.20000004768372,18.09,38.2
-86.20000004768372,15.430000000000001,45.8
-53.399999141693115,9.649999999999999,29.4
-6.8999998569488525,10.330000000000002,2.0
-77.09999907016754,12.22,50.300000000000004
-49.80000042915344,21.999999999999996,14.9
-7.199999809265137,3.71,2.7
-21.399999499320984,7.62,7.999999999999999
-40.299999952316284,9.07,13.8
-50.69999980926514,12.57,22.1
-7.499999821186066,3.52,3.6
-90.80000124126673,30.669999999999995,48.5
-98.69999980926514,25.64,66.10000000000001
-75.90000200271606,27.15,31.900000000000002
-81.70000195503235,24.859999999999996,35.9
-68.90000009536743,13.129999999999999,34.800000000000004
-55.299999713897705,10.27,22.4
-64.29999995231628,12.670000000000002,42.4
-70.00000095367432,20.220000000000002,23.8
-70.20000141859055,38.949999999999996,25.100000000000005
-46.500000059604645,8.7,17.3
-46.59999990463257,9.36,32.3
-67.90000128746033,13.96,28.099999999999998
-70.70000123977661,40.05,22.8
-86.20000004768372,15.430000000000001,45.8
-90.80000124126673,30.669999999999995,48.5
-49.20000094175339,20.9,15.200000000000001
-20.199999928474426,5.880000000000001,9.1
-81.70000195503235,24.859999999999996,35.9
-50.10000014305115,11.600000000000001,17.8
-20.899999856948853,4.02,4.7
-49.799999594688416,8.13,32.599999999999994
-44.899999141693115,7.5600000000000005,21.0
-62.99999976158142,12.93,38.800000000000004
-91.09999985992908,29.65,59.0
-77.50000095367432,37.76,27.200000000000003
-11.500000238418579,2.85,4.2
-20.199999928474426,5.880000000000001,9.1
-24.70000070333481,6.22,27.799999999999997
-38.000000953674316,7.84,18.5
-79.19999969005585,16.860000000000003,34.1
-71.70000100135803,23.89,25.700000000000006
-43.200000524520874,13.02,12.600000000000001
-70.20000141859055,38.949999999999996,25.100000000000005
-64.1000018119812,21.12,17.6
-58.30000066757202,12.84,16.900000000000002
-71.70000100135803,23.89,25.700000000000006
-61.700000643730164,10.000000000000002,28.1
-61.30000042915344,11.83,26.5
-70.70000123977661,40.05,22.8
-78.30000221729279,31.359999999999996,29.3
-40.19999945163727,9.73,12.900000000000002
-79.19999969005585,16.860000000000003,34.1
-75.90000200271606,27.15,31.900000000000002
-67.90000128746033,13.96,28.099999999999998
-49.20000094175339,20.9,15.200000000000001
-89.20000014454126,22.649999999999995,56.699999999999996
-45.200000286102295,6.2,25.7
-41.10000014305115,11.05,12.3
-77.50000095367432,37.76,27.200000000000003
