generation,hypervolume
0,102657.43799498616
1,111947.80659732717
2,114745.33492133839
3,118653.74333359642
4,129017.5062252055
5,132142.3230357893
6,137123.08630780806
7,138707.89640178418
8,146089.0007355598
9,147067.57252230574
10,148200.3892739348
11,151617.5451794899
12,151617.5451794899
13,151488.96136681407
14,151827.5013390103
15,151886.76673435004
16,151914.3535269212
17,151925.19252304485
18,153462.93114714645
19,153673.4626129581
20,153578.47892295948
21,153578.65892259113
22,152580.8006448793
23,154803.4862917168
24,155402.05519419152
25,155702.3985322606
26,155702.3985322606
27,156120.21580688198
28,163903.169918318
29,164086.09587946674
30,164750.1061140541
31,164750.1061140541
32,165045.8190795282
33,165133.2741027076
34,165137.14540163163
35,165137.14540163163
36,165137.14540163163
37,165186.52320345043
38,165404.10120611417
39,165410.6892037837
40,165542.04305128026
41,166130.1077566867
42,166129.79095575353
43,166227.63176507916
44,169015.00972893284
45,169918.12870784814
46,169960.2492930002
47,169423.44847283314
48,170264.47880876157
49,171200.31865506264
50,171204.53485827727
51,171189.96301563148
52,171309.54676411906
53,171309.54676411906
54,171523.84895574788
55,171522.33695268372
56,171537.81179063028
57,171672.50314390336
58,171672.50314390336
59,171676.86310457974
60,171688.11530765615
61,171688.11530765615
62,171688.11530765615
63,171704.74731095202
64,172011.71886519346
65,172003.1836591762
66,172360.36015238625
67,172340.70737455983
68,172237.41516553063
69,172361.71970685007
70,172697.20763743497
71,172697.20763743497
72,172699.85183724706
73,172739.33264220748
74,173444.54399309185
75,173521.5322053052
76,173493.6498015295
77,175325.31280504324
78,175213.05628975458
79,175213.10848973593
80,175155.32869604207
81,175256.73647923142
82,175256.73647923142
83,175243.17278871423
84,175315.3521696211
85,175310.7927847133
86,172880.507880591
87,172941.20086192279
88,175553.00241548408
89,175593.7049747175
90,175593.7049747175
91,175805.36397625488
92,175789.66192071783
93,175912.13177915933
94,175886.13417920412
95,175733.50268512877
96,176234.6640169283
97,176255.74274739402
98,176176.7926985629
99,178763.39857623988
100,179413.2732458824
101,179316.12814743406
102,181166.58118517837
103,180930.27865259693
104,182489.88476122587
105,183282.444162568
106,183284.94256286326
107,183447.22545240627
108,183505.24564901326
109,183519.60174639788
110,183524.95674754694
111,183529.44954709322
112,184362.90388216896
113,184362.90388216896
114,184362.90388216896
115,184916.94964448377
116,185223.79080158297
117,185231.79906410706
118,185327.44169847597
119,185332.91729651776
120,185328.9272953812
121,185314.06139534892
122,185385.33776331806
123,185688.56351886175
124,185739.66256169428
125,185845.73375901193
126,185928.4333665148
127,186076.11312731128
128,184792.8842555287
129,184769.6880590274
130,184708.29421341966
131,184715.3996119534
132,183782.98973347983
133,183782.98973347983
134,183784.55573411248
135,183796.3794213328
136,184363.2777559809
137,185353.88450983175
138,185353.88450983175
139,185377.6762574005
140,185062.95878299265
141,184537.2365198241
142,184537.2365198241
143,184517.6053340552
144,184770.10462804185
145,185213.2419435712
146,185138.43397750973
147,184819.03035043142
148,184942.491951013
149,186492.5246603205
150,187323.88505547232
151,187229.93427925097
152,188105.91438575365
153,193682.9398691613
154,193836.61708134413
155,194960.1489469133
156,194938.05814753857
157,195465.2794559751
158,195465.2794559751
159,195390.940269162
160,195391.11786908968
161,195616.96252391598
162,195616.96252391598
163,195767.5029513979
164,195896.0701743917
165,196736.83689407565
166,196736.83689407565
167,196905.06712059415
168,197671.70455817648
169,198098.73321471323
170,198113.6900118648
171,198113.6900118648
172,198235.43696219721
173,198280.0909500714
174,198248.00132666796
175,198248.00132666796
176,198288.14841491208
177,198288.14841491208
178,198288.14841491208
179,198288.97161299232
180,198303.30441596571
181,198657.36369939693
182,199241.2149514435
183,199614.80483789352
184,199614.80483789352
185,199614.80483789352
186,200139.63444333692
187,200594.71005191508
188,200605.33605375758
189,202387.06620017436
190,202576.9633071279
191,202700.17182929054
192,202752.02367721687
193,202497.7143646315
194,202430.39086771253
195,202679.50390472868
196,202681.0351047895
197,202674.5485072518
198,202653.86910406008
199,202652.86590405987
200,202836.99290614048
