generation,hypervolume
0,73189.73964152134
1,77014.34296028093
2,80769.5171043773
3,84614.48486008705
4,87731.26398288399
5,90451.7843270449
6,92378.0508281951
7,97041.34612809906
8,97192.2197326068
9,97542.04034349405
10,98108.7072695403
11,98681.30249522912
12,100644.78762618211
13,101972.05487389161
14,102558.61684651629
15,106687.3365114989
16,108130.13444207964
17,109352.69953913063
18,109637.53800573334
19,110258.2007438521
20,110044.10442837444
21,111647.67228049069
22,112451.05822404454
23,114157.74184653797
24,114508.81697125288
25,114831.30026985043
26,114077.46025670861
27,114480.59837242917
28,116215.47666180095
29,117661.77335545555
30,117969.77539848023
31,118818.27546045852
32,121118.45869157114
33,121182.72289927692
34,121124.98840431799
35,121282.8869448663
36,121211.90392222076
37,124197.30585566795
38,124234.94394322936
39,124234.94394322936
40,124514.47174628242
41,126156.04706305997
42,125924.36081430028
43,125842.6008494806
44,126083.82132217678
45,126620.22867713214
46,126148.74938254408
47,126322.81977382733
48,128664.17044115237
49,128495.54461398555
50,128522.0254130734
51,128523.81161281197
52,128532.95254297937
53,128531.4568363822
54,129823.62209720064
55,129823.70249721217
56,130266.65682918481
57,130280.69833639199
58,130275.36780733538
59,130583.94417205807
60,130656.54117119651
61,131724.1313014391
62,131724.1313014391
63,131514.72381236844
64,131365.32565026963
65,131365.08222619546
66,131838.8480380617
67,132135.42732313767
68,132135.42732313767
69,131693.94162877562
70,131709.61581939578
71,131709.61581939578
72,132592.59115366256
73,132472.8112202121
74,132555.45379528587
75,132529.70478586396
76,132282.72614226688
77,132260.77953396682
78,131898.33249636446
79,131863.86650620325
80,131863.86650620325
81,132085.85752297708
82,131739.0309044484
83,131925.6078019399
84,133174.00798184052
85,133135.06678780698
86,134949.29488844276
87,134841.10488149623
88,134961.52330590007
89,134300.79485132665
90,134578.59880928978
91,135273.13851369102
92,135376.5671336133
93,135187.8571363354
94,136118.77095360562
95,136027.13838960094
96,136286.85854773148
97,136286.85854773148
98,135862.94475127198
99,135880.68161569245
100,135880.68161569245
101,135882.01301601165
102,135929.3710099558
103,135341.66944605054
104,135345.92444603684
105,136498.6774321055
106,136726.20587085816
107,137176.52916781267
108,137343.539217155
109,137570.13216037056
110,137580.48876397024
111,137580.48876397024
112,137818.8046472804
113,137818.8046472804
114,137383.2779147349
115,138458.64594184398
116,138458.64594184398
117,138458.64594184398
118,138630.38824867635
119,137276.71198263648
120,137190.14049757813
121,137544.64577392262
122,138090.73336444216
123,138061.55232502907
124,138099.10367826954
125,138043.27992425006
126,138275.78325093235
127,138202.7882484837
128,138316.01739252213
129,138591.12414514174
130,138827.60506122894
131,138590.1604894588
132,139200.78648932642
133,140063.24531484934
134,140084.04035603418
135,140280.21486555433
136,140300.33236555435
137,140197.86702378327
138,140197.86702378327
139,140007.23576412402
140,139728.16756097635
141,139789.21886854182
142,139801.24606961646
143,139835.24851826418
144,139835.24851826418
145,139828.88066033053
146,139821.8590665549
147,139637.12523784064
148,139450.69172882324
149,139392.7581534088
150,139392.7581534088
151,139842.72555120257
152,139300.4414909374
153,139824.70758426082
154,139937.0328203147
155,139940.0767754546
156,139958.63157350608
157,140500.64879485613
158,140348.16173075212
159,140360.62258501246
160,140400.64484621916
161,140306.3400303149
162,140340.3744402094
163,140907.00734330982
164,140972.25593270521
165,140402.2072581173
166,140437.00576313827
167,140498.0011376252
168,140498.0011376252
169,141501.33675098285
170,141449.85022854197
171,142330.35992674076
172,142492.8256327078
173,142514.23842896073
174,142747.90281245933
175,143342.45127652114
176,143471.89226673468
177,143471.89226673468
178,143467.38111442924
179,143924.19590178906
180,144001.4571778545
181,144296.81609609968
182,144320.5569950553
183,144318.85769739034
184,144305.17311810717
185,144220.5171471313
186,144210.5489467318
187,144210.5489467318
188,144119.57164382277
189,144067.24625172146
190,144067.24625172146
191,146163.75525146263
192,146155.97425414113
193,146437.44325640047
194,146437.44325640047
195,146421.48422660798
196,146414.91282727924
197,146386.80943797142
198,146450.2528400278
199,146446.1733419256
200,146759.2120544978
