neg_preference,cost,co2
-63.799999475479126,7.18,32.9
-158.40000092983246,23.490000000000002,81.60000000000001
-145.00000083446503,22.950000000000003,38.3
-145.00000083446503,22.950000000000003,38.3
-48.59999895095825,8.85,6.2
-102.80000114440918,12.370000000000001,36.7
-122.40000176429749,14.499999999999996,26.8
-164.30000126361847,27.990000000000002,48.20000000000001
-161.3000009059906,24.36,40.5
-72.09999942779541,8.26,34.7
-101.50000166893005,15.84,14.6
-133.00000095367432,21.39,25.799999999999997
-38.80000019073486,10.6,4.699999999999999
-147.90000170469284,20.37,50.00000000000001
-164.30000126361847,27.990000000000002,48.20000000000001
-119.10000157356262,25.049999999999997,24.799999999999997
-71.40000057220459,17.23,7.8
-109.3999993801117,14.110000000000001,30.400000000000002
-35.90000009536743,5.040000000000001,18.4
-104.80000257492065,12.659999999999998,43.699999999999996
-127.2000013589859,15.52,75.7
-127.2000013589859,15.52,75.7
-93.80000114440918,11.01,46.699999999999996
-35.30000076442957,6.579999999999999,11.799999999999999
-122.40000176429749,14.499999999999996,26.8
-101.50000166893005,15.84,14.6
-86.799999833107,18.0,14.4
-127.2000013589859,15.52,75.7
-72.09999942779541,8.26,34.7
-78.80000162124634,9.36,33.6
-93.80000114440918,11.01,46.699999999999996
-140.0000010728836,21.630000000000003,38.800000000000004
-56.69999980926514,6.87,17.9
-97.19999939203262,12.65,31.6
-139.2000012397766,24.439999999999998,27.999999999999996
-72.09999942779541,8.26,34.7
-91.00000023841858,13.370000000000003,15.799999999999997
-90.30000138282776,13.399999999999997,22.599999999999994
-133.00000095367432,21.39,25.799999999999997
-27.200000382959843,4.94,4.3
-35.30000076442957,6.579999999999999,11.799999999999999
-152.00000166893005,22.94,40.39999999999999
-53.60000038146973,7.6,13.2
-78.60000085830688,9.08,16.099999999999998
-88.80000114440918,13.98,14.5
-56.19999980926514,11.700000000000001,9.5
-61.60000038146973,11.78,10.8
-146.2000014781952,19.56,42.7
-47.80000019073486,5.64,21.5
-41.500001192092896,5.38,36.5
-29.500000476837158,5.96,12.0
-41.100000858306885,5.04,13.2
-66.3000009059906,10.7,12.899999999999999
-156.30000114440918,25.210000000000004,35.9
-131.5000016093254,16.58,55.300000000000004
-158.4000005722046,33.800000000000004,23.400000000000002
-83.90000090748072,12.240000000000002,14.5
-122.90000212192535,14.149999999999999,54.50000000000001
-152.40000128746033,24.25,32.3
-158.40000092983246,23.490000000000002,81.60000000000001
-147.90000170469284,20.37,50.00000000000001
-61.600000858306885,6.04,38.199999999999996
-133.10000085830688,25.65,21.7
-86.799999833107,18.0,14.4
-63.799999475479126,7.18,32.9
-53.20000076293945,9.209999999999999,8.0
-138.40000009536743,18.69,30.9
-54.30000114440918,5.6899999999999995,28.299999999999997
-81.60000038146973,11.219999999999999,18.5
-112.20000100135803,16.11,21.299999999999997
-54.40000104904175,7.900000000000001,14.899999999999999
-79.59999966621399,11.120000000000001,23.6
-96.90000176429749,12.48,42.099999999999994
-124.10000038146973,17.63,28.4
-83.40000128746033,11.88,10.0
-164.30000126361847,27.990000000000002,48.20000000000001
-101.50000166893005,15.84,14.6
-80.20000100135803,9.969999999999999,28.9
-119.70000076293945,25.990000000000002,21.2
-61.19999980926514,7.36,22.300000000000004
-102.80000114440918,12.370000000000001,36.7
-100.30000042915344,13.700000000000001,24.5
-111.50000166893005,12.350000000000001,45.800000000000004
-60.40000104904175,8.08,16.4
-94.00000023841858,14.139999999999999,19.6
-92.70000123977661,22.819999999999997,12.700000000000003
-90.40000009536743,10.59,27.799999999999997
-161.3000009059906,24.36,40.5
-145.00000083446503,22.950000000000003,38.3
-102.80000066757202,18.5,21.5
-95.00000143051147,11.64,26.199999999999996
-71.70000004768372,11.329999999999998,14.5
-91.10000133514404,9.38,38.70000000000001
-74.60000133514404,22.97,7.7
-69.30000001192093,12.120000000000003,8.2
-27.800000578165054,6.54,6.699999999999999
-35.00000038743019,6.76,7.9
-116.79999923706055,19.48,19.400000000000002
-117.9000015258789,13.44,45.4
-107.10000050067902,12.53,38.5
-127.2000013589859,15.52,75.7
-44.5,7.3,6.8999999999999995
-71.700000166893,8.58,18.900000000000002
-48.59999895095825,8.85,6.2
-71.40000057220459,17.23,7.8
-54.20000076293945,6.699999999999999,21.200000000000003
-109.3999993801117,14.110000000000001,30.400000000000002
-126.10000145435333,14.57,62.400000000000006
-57.90000104904175,6.079999999999999,31.699999999999996
-88.00000047683716,11.649999999999999,23.2
-49.100000858306885,5.959999999999999,13.799999999999999
-66.70000088214874,7.46,39.8
-78.80000162124634,9.36,33.6
-59.80000019073486,7.89,9.6
-104.80000257492065,12.659999999999998,43.699999999999996
-128.60000050067902,17.43,43.3
-63.70000076293945,13.940000000000001,6.8
-103.09999966621399,13.47,29.900000000000002
-84.2000002861023,10.08,28.099999999999998
-112.0000011920929,14.51,25.5
-67.20000076293945,7.859999999999999,28.200000000000003
-97.70000171661377,11.830000000000002,48.90000000000001
-76.69999992847443,11.49,12.9
-35.90000009536743,5.040000000000001,18.4
