neg_preference,cost,co2
-44.20000076293945,9.04,4.4
-37.99999952316284,4.33,20.0
-205.20000183582306,32.13,76.0
-194.10000091791153,38.589999999999996,65.60000000000001
-13.0,3.02,3.8
-194.10000091791153,38.589999999999996,65.60000000000001
-193.60000151395798,35.209999999999994,73.3
-205.20000183582306,32.13,76.0
-176.3000009059906,29.389999999999997,53.20000000000001
-189.70000100135803,34.85999999999999,71.5
-63.19999933242798,8.05,27.6
-185.90000039339066,34.7,62.099999999999994
-143.00000071525574,30.619999999999997,29.3
-178.6000014320016,33.6,41.099999999999994
-77.799999833107,9.26,57.400000000000006
-25.199999928474426,4.74,11.200000000000001
-153.8000001013279,20.2,29.3
-77.799999833107,9.26,57.400000000000006
-155.90000024437904,21.860000000000003,51.60000000000001
-19.199999809265137,3.58,4.6
-81.90000057220459,15.62,15.3
-168.60000133514404,26.81,39.79999999999999
-33.200000286102295,5.3999999999999995,11.7
-158.00000047683716,23.28,46.60000000000001
-183.80000269412994,30.669999999999998,52.6
-137.30000066757202,18.270000000000003,22.6
-158.80000066757202,23.89,30.5
-57.000001430511475,13.540000000000001,9.500000000000002
-185.90000039339066,34.7,62.099999999999994
-124.70000219345093,28.1,19.800000000000004
-181.30000185966492,29.400000000000002,70.0
-161.80000138282776,32.34,34.5
-18.000000476837158,4.09,3.4
-120.40000012516975,15.079999999999998,26.8
-91.89999949932098,11.459999999999999,38.3
-175.7000024318695,28.479999999999997,49.199999999999996
-171.50000047683716,22.080000000000002,49.099999999999994
-105.60000085830688,26.009999999999994,18.2
-129.09999990463257,22.599999999999998,21.9
-172.8000009059906,34.3,36.2
-27.600000619888306,7.270000000000001,5.0
-74.29999995231628,9.84,33.5
-91.49999962002039,19.099999999999998,12.4
-163.7000012397766,24.779999999999998,37.400000000000006
-139.2000002861023,18.61,23.9
-172.70000076293945,31.36,42.0
-193.60000151395798,35.209999999999994,73.3
-69.80000114440918,11.58,24.700000000000003
-51.90000009536743,8.64,14.6
-154.40000048279762,17.67,35.6
-110.90000104904175,25.009999999999998,18.599999999999998
-99.0,25.93,13.4
-103.10000020265579,21.209999999999997,13.6
-138.50000050663948,16.69,37.2
-72.30000019073486,12.67,14.4
-47.00000035762787,8.600000000000001,19.099999999999998
-121.4000015258789,17.83,31.6
-129.09999990463257,22.599999999999998,21.9
-115.30000066757202,19.8,19.300000000000004
-56.30000019073486,17.089999999999996,8.9
-87.00000095367432,10.95,34.300000000000004
-41.59999990463257,6.37,10.100000000000001
-80.39999976754189,12.360000000000001,17.3
-60.90000057220459,6.54,34.7
-88.49999943375587,13.7,17.9
-102.89999971538782,20.76,16.200000000000003
-181.30000185966492,29.400000000000002,70.0
-29.600000619888306,8.28,6.8999999999999995
-55.70000019669533,9.07,13.1
-42.10000026226044,5.3,32.8
-111.80000066757202,12.569999999999999,20.4
-164.80000162124634,26.060000000000002,36.7
-89.7000002861023,11.51,21.4
-118.59999993443489,15.549999999999999,25.5
-70.89999985694885,8.6,29.0
-80.50000071525574,27.740000000000002,11.0
-160.400000333786,27.439999999999998,32.0
-170.4000015258789,27.1,44.19999999999999
-121.20000088214874,14.45,29.500000000000007
-180.30000114440918,29.6,47.2
-180.30000114440918,29.6,47.2
-84.69999933242798,12.68,20.499999999999996
-72.00000047683716,26.740000000000002,10.4
-140.80000066757202,21.180000000000003,24.7
-170.10000133514404,33.47,37.400000000000006
-156.50000047683716,23.279999999999998,36.6
-96.20000123977661,20.309999999999995,16.2
-99.79999947547913,11.61,33.8
-172.70000076293945,31.36,42.0
-46.89999985694885,5.319999999999999,25.4
-45.69999980926514,6.929999999999999,25.2
-74.59999993443489,10.59,44.8
-115.1000018119812,26.900000000000002,17.8
-96.20000123977661,20.309999999999995,16.2
-41.89999985694885,6.0200000000000005,24.099999999999998
-13.0,3.02,3.8
-175.7000024318695,28.479999999999997,49.199999999999996
-61.50000023841858,11.05,19.2
-42.10000002384186,7.32,21.1
-74.59999993443489,10.59,44.8
