generation,hypervolume
0,395731.87738300354
1,415656.72056994424
2,427420.10486311663
3,435247.480745027
4,460119.149422887
5,471721.8122918983
6,479034.81824078574
7,481592.41141119844
8,482424.7895784184
9,487839.247999905
10,490006.35015553783
11,490093.22649816656
12,490822.6725227818
13,497245.32692696876
14,500902.94427104224
15,500962.1440687849
16,507507.64557512937
17,510527.3822217535
18,512272.49405799713
19,517264.5682954906
20,518291.2820873596
21,523313.46494703967
22,525501.7639745347
23,532004.6441422681
24,534778.2812554026
25,538941.0563685336
26,541114.3019270343
27,541384.7799194739
28,542713.0696869127
29,543755.7778329874
30,551638.3423650468
31,551588.9726213149
32,552430.978242022
33,554859.4624473192
34,554897.1710518649
35,555371.2138253353
36,555719.090417549
37,561819.146607239
38,561819.146607239
39,568411.629487535
40,569624.5764780701
41,569640.2690801796
42,569561.9691567646
43,569848.3021715034
44,569838.5257726344
45,569922.0397857183
46,570442.8295051462
47,570457.661599796
48,570457.661599796
49,571034.2398467136
50,571064.4744529983
51,571064.4744529983
52,571034.2398467136
53,571692.4101003862
54,572417.5981522973
55,572417.5981522973
56,572333.1617554892
57,571581.0551226346
58,571655.317913835
59,571630.3060163129
60,570327.6911242323
61,570327.6911242323
62,570330.1878300316
63,570330.1878300316
64,570330.1878300316
65,570179.3297955117
66,570561.209875738
67,570519.1921115301
68,571517.4237082739
69,571510.365509206
70,571509.156508569
71,580941.4789506592
72,580944.9054537532
73,580945.1786540677
74,580892.7019880328
75,580904.8177893482
76,580507.9174872502
77,580509.0334870173
78,581534.4881638201
79,582734.4157766786
80,582734.4157766786
81,582918.8314890014
82,583183.9588602609
83,583147.087710493
84,582798.5695280868
85,582792.7765426053
86,582721.0433992692
87,582721.0433992692
88,582733.8655961638
89,587774.7686561806
90,587785.2546536538
91,587777.6250562745
92,587798.8254641371
93,586943.5884985841
94,586943.5884985841
95,587742.5960985069
96,587742.5960985069
97,587915.9941551932
98,587934.7176579538
99,585686.3487127095
100,585685.2852126509
101,583898.0148412995
102,584761.5654220323
103,585089.2761259929
104,585308.4663732628
105,585464.3119163729
106,585931.1016914899
107,585931.1016914899
108,585158.5101486546
109,585578.0204617436
110,585530.3132016408
111,585377.4452962325
112,586316.9571347123
113,586410.7021121525
114,586470.440738413
115,586470.440738413
116,586419.2838273405
117,587378.0832096394
118,588389.1371470696
119,588389.686147026
120,595401.8732718537
121,595022.7348844816
122,594988.3300495164
123,593287.492703961
124,593574.8197047636
125,593449.7071252754
126,593449.7071252754
127,592992.8695809585
128,592992.8695809585
129,592992.8695809585
130,593595.5155986212
131,592980.2347722753
132,593015.6503674337
133,593019.8230683401
134,593019.2875684127
135,593019.2875684127
136,593438.5098844796
137,593439.5262847494
138,593439.5262847494
139,593595.0471958761
140,593381.7436279459
141,593404.6026084586
142,593171.4777475682
143,593181.2367431731
144,593181.2367431731
145,594323.0552436025
146,594498.6589331327
147,594496.0129334218
148,594477.7248343554
149,595640.6287909909
150,594816.8617547373
151,594816.8617547373
152,595395.4561998926
153,595029.62347332
154,595077.8949639141
155,596186.3443949107
156,596237.3003451441
157,596274.1871581337
158,596128.455880415
159,596137.3383733251
160,597307.7481195065
161,597124.388969067
162,599343.7209682757
163,599794.9699107062
164,599886.5887992282
165,599716.2901914583
166,598172.8737217697
167,598140.9836081588
168,597471.9951658442
169,597018.8849187739
170,597068.7434174456
171,596881.6444081761
172,596565.4857108919
173,596619.4576682552
174,596619.4576682552
175,596951.9045675682
176,597180.0236067534
177,596386.8497883596
178,596265.1898199918
179,599872.0533058104
180,599872.7733053146
181,599756.2803154149
182,599401.3997036177
183,599552.8222683319
184,601038.2245255759
185,601917.9592061498
186,601853.6650820882
187,601747.3067551437
188,601747.3067551437
189,601747.3067551437
190,601755.5534302108
191,606061.4256810287
192,606046.8015296704
193,606058.806319559
194,606797.633121724
195,606800.6907218783
196,607189.8974485925
197,607107.6899511557
198,607598.1019785195
199,607810.066655755
200,608362.5386742682
