generation,hypervolume
0,84356.13031480068
1,95127.59335397245
2,105235.3297956059
3,111562.7959344542
4,114208.85251432298
5,124379.72174684428
6,126393.26802474615
7,126868.19917102662
8,131552.33494626672
9,132291.1769800159
10,133600.74595146207
11,136185.5967846769
12,138560.68358857327
13,138873.9680542318
14,138957.82484423358
15,139974.129120718
16,141769.43458344188
17,143229.51556909067
18,143608.71690794063
19,144756.53249835598
20,144796.40089715063
21,151379.95478002698
22,151397.8323069573
23,153655.2822497647
24,153656.1222516225
25,153888.35457441866
26,153891.90807452914
27,154234.04698874574
28,155212.12182261705
29,155484.35279078165
30,157516.25149775785
31,157743.11425448488
32,157907.05284565623
33,158052.78274418903
34,161136.1817734131
35,161361.70640332293
36,163023.4627515554
37,165557.61706706518
38,165964.0818871758
39,166861.23577519692
40,166910.777846412
41,168552.12252914128
42,168723.860025956
43,168790.73149615282
44,169187.50231638123
45,170015.34741945213
46,171220.74501673147
47,171948.21482875734
48,177129.22753371665
49,177117.75002848665
50,177134.38055660843
51,177163.6053485322
52,176880.788912619
53,177083.17832356592
54,177902.33693562177
55,178003.43372921174
56,179084.18230984802
57,179106.67471113818
58,179332.0563177828
59,179507.52579149703
60,179507.52579149703
61,179532.60038659093
62,180022.5076667114
63,180043.9475342478
64,180059.86889140762
65,180110.75709715323
66,180181.02406710174
67,180186.9653979427
68,181854.12566753785
69,181945.21419850073
70,182131.936982805
71,180067.19769471794
72,181630.5251491472
73,181241.66857414012
74,181135.49569339774
75,181193.32269070746
76,181219.34898729273
77,181260.42898457684
78,181337.46838750114
79,181336.1633870863
80,181429.65920820035
81,182396.34739820324
82,182396.34739820324
83,182387.8845958134
84,183059.33110341497
85,183404.56253583016
86,184381.37716214842
87,184440.03974534158
88,184084.1627484582
89,186447.20629171183
90,188744.68249041733
91,188786.98449223014
92,190333.03321598662
93,190830.47223834728
94,191057.23413636198
95,191086.70163437366
96,191673.83684111264
97,191714.86753991654
98,191742.45024165564
99,192143.99676026092
100,192134.10601109854
101,192129.49573869884
102,193020.52873718645
103,193018.8582546765
104,193007.82345366376
105,193061.13385559784
106,193076.82485502228
107,193104.21274883274
108,193919.4601570167
109,193919.4601570167
110,194268.46940031197
111,194299.0824008962
112,194287.69840128344
113,194225.5430999282
114,194999.45218645217
115,194881.50499101827
116,195429.45573439653
117,195450.01113240205
118,196049.2950181242
119,196318.73890812742
120,196318.73890812742
121,196376.31680491002
122,199145.81593121006
123,199145.81593121006
124,199289.616626004
125,199570.76342952467
126,199622.51667134027
127,199621.64827179312
128,199598.87017385862
129,199613.35147371277
130,199638.29070706462
131,199829.41986657164
132,200229.08020132568
133,200182.23594465043
134,200368.91907148616
135,200371.0731714313
136,200383.51937067474
137,200446.9362464019
138,200645.41430842268
139,198469.52572116134
140,198469.52572116134
141,199044.6177350892
142,199040.05333679754
143,198976.90888470013
144,198967.37218220814
145,198967.66288229672
146,198967.66288229672
147,199070.54056877736
148,199022.337066688
149,199146.5985998937
150,202003.59640999272
151,202003.59640999272
152,202003.65311000624
153,202016.37055131522
154,202089.84115212754
155,202089.84115212754
156,202479.691961307
157,200075.4825476907
158,200096.53174617578
159,200078.89594708866
160,200083.7073464108
161,200049.93044490495
162,200080.0340460115
163,200106.0734462914
164,200093.55464623234
165,200403.74962126327
166,200411.68582317772
167,200415.9353843276
168,200361.33704311104
169,200361.33704311104
170,200403.10168667726
171,200397.10968747167
172,200408.4472364839
173,200399.75243622367
174,200508.60044512321
175,200592.27043477722
176,200591.46643493295
177,201983.2694378352
178,201979.01987668528
179,202094.4891757148
180,202240.8562385928
181,202275.19962158668
182,201390.57627176645
183,201544.2533720168
184,202442.09556717714
185,202998.63745474833
186,203044.0655542305
187,202982.50275501108
188,202982.50275515427
189,202957.59164693198
190,202910.14982296014
191,202910.14982296014
192,202910.14982296014
193,202518.87356679753
194,202608.68748666687
195,202573.3041763557
196,202750.4163048007
197,202767.39192461822
198,202810.91107141558
199,203902.72644725008
200,203902.95744830338
