generation,hypervolume
0,138526.94023137348
1,144783.8442987865
2,147423.79325198013
3,153064.9106251306
4,157221.17314555804
5,161841.71631547564
6,164417.52256315073
7,181163.08833752712
8,181662.16024104503
9,183830.2991105918
10,185147.2172396969
11,186895.073707635
12,187141.7425698161
13,187518.5890320738
14,187665.34453148313
15,187951.44676423573
16,192502.74781086843
17,191957.72666560145
18,194542.2158427543
19,198469.38877332362
20,198558.45775547362
21,198728.47578358045
22,199342.60694174026
23,199763.7128594243
24,202421.6532931714
25,202373.16804852855
26,202737.843062676
27,203176.56681966202
28,203220.15321589247
29,205000.67663757902
30,206997.98634400967
31,208682.41085999575
32,208688.32735717454
33,209642.782450011
34,212067.40493325138
35,212095.5683529075
36,212198.25176646968
37,212375.45416726914
38,212383.16606683
39,213065.67217167967
40,213071.29737407254
41,213079.99827370374
42,213126.6833589492
43,213128.67506054527
44,213367.72492907938
45,214858.65308276328
46,216964.64739234344
47,216968.2725937764
48,217003.96332861064
49,217003.96332861064
50,219481.60284762038
51,220718.98150428612
52,220980.36471484328
53,223830.9114483591
54,223838.44924323013
55,224500.68635988963
56,224220.4988795531
57,224418.61948671445
58,224451.5666832164
59,224442.69669568617
60,224508.8449978869
61,224586.8681359588
62,225602.2767347534
63,225626.72314476158
64,225673.24072148616
65,225700.35752353113
66,225706.6689056328
67,225712.00390412234
68,226168.51569122722
69,226168.51569122722
70,226168.51569122722
71,227772.41838302946
72,228047.3564782177
73,229365.02464157145
74,229400.0599533767
75,229418.89035392698
76,229406.93795251963
77,229431.3756511538
78,229429.39965288114
79,229470.80265017523
80,230425.50526223358
81,230448.89366591306
82,230520.5950677131
83,230520.5950677131
84,230729.47379322862
85,230858.40928348998
86,231266.92143849988
87,230589.81019037275
88,230780.6414438089
89,230416.67409552803
90,230476.66553347174
91,231277.34504397464
92,231761.9701794064
93,231973.39185843646
94,232146.811551365
95,232146.811551365
96,232090.56053292385
97,232725.26086641167
98,232702.33255020465
99,232702.33255020465
100,233612.10656097703
101,233612.10656097703
102,232404.4821682981
103,232419.50587135344
104,232211.5321447525
105,232211.5321447525
106,233260.5987951865
107,233249.60235063266
108,233248.5079506141
109,233719.02905318656
110,233665.25023306
111,233615.68285741913
112,233211.07033281703
113,233223.889833492
114,233223.889833492
115,233186.51112882013
116,233163.52944917575
117,233208.09805726726
118,233195.769256666
119,233086.26893406652
120,233472.90006247442
121,233493.54267212865
122,233315.56917086674
123,233315.56917086674
124,233315.56917086674
125,233235.52548208373
126,232719.43237008766
127,231658.61279668682
128,231942.8744804993
129,231921.62344107128
130,232239.29593875993
131,231227.20767475705
132,231227.20767475705
133,231059.56308589835
134,231826.4718233164
135,231886.18654070608
136,232764.01919849997
137,232764.01919849997
138,232694.0648275051
139,233047.42310000246
140,233322.13731081883
141,233072.70580413667
142,233072.70580413667
143,233340.69580250612
144,233359.0590031091
145,233507.1861955935
146,233507.1861955935
147,233194.3857212909
148,232843.14994392724
149,232842.47314385173
150,232842.47314385173
151,232864.15864390798
152,232864.15864390798
153,232851.7027471211
154,233013.7576383935
155,233013.7576383935
156,233236.08410159632
157,233138.5864990945
158,232928.6406413059
159,232929.0890398092
160,232985.41692168702
161,233018.03672011872
162,233194.38720330616
163,233391.28874979014
164,233763.21247781566
165,234265.8229921361
166,234229.84279085422
167,234232.68138768652
168,234233.62638835135
169,234209.6759005084
170,234013.3324237292
171,234020.32301420212
172,234020.32301420212
173,234301.18415670548
174,234313.7841337599
175,234313.7841337599
176,234370.64459049713
177,234374.287788396
178,234591.10011076636
179,234591.10011076636
180,234751.1971990667
181,235375.1042899408
182,235386.25349211285
183,235852.55395421854
184,235918.9299143051
185,235869.4175152677
186,236765.2532320648
187,236814.038412884
188,236940.1655632545
189,236576.0454870418
190,236590.54933939982
191,236036.6852111628
192,236011.18121192287
193,236011.18121192287
194,236011.18121192287
195,239369.40312777885
196,239537.66635288182
197,239435.28628239926
198,239436.60897903546
199,239386.86082596384
200,242329.54839624302
