neg_preference,cost,co2
-26.900000512599945,4.779999999999999,22.999999999999996
-117.20000119507313,22.98,61.900000000000006
-14.100000143051147,14.21,3.9
-108.59999938309193,32.53,54.3
-109.0999998152256,20.8,71.9
-4.099999904632568,4.15,2.0
-109.39999976754189,21.949999999999996,67.80000000000001
-84.70000034570694,27.95,32.9
-103.40000076591969,28.740000000000002,48.099999999999994
-107.39999963343143,31.93,56.599999999999994
-117.20000119507313,22.98,61.900000000000006
-67.10000115633011,12.78,20.799999999999997
-91.90000040829182,15.67,49.800000000000004
-109.0999998152256,20.8,71.9
-95.20000076293945,26.569999999999997,47.300000000000004
-101.79999968409538,21.089999999999996,67.9
-41.899999260902405,10.05,15.4
-80.10000014305115,11.4,34.5
-101.3000009059906,24.36,52.699999999999996
-88.80000162124634,15.780000000000001,37.9
-109.19999976456165,26.14,58.599999999999994
-32.80000001192093,5.63,14.100000000000001
-88.80000007152557,13.86,40.5
-48.40000021457672,13.09,12.399999999999999
-95.60000103712082,18.430000000000003,47.4
-74.80000025033951,10.73,45.2
-18.000000298023224,11.61,8.700000000000001
-45.10000067949295,18.83,11.3
-62.60000079870224,8.96,30.7
-36.59999918937683,9.450000000000001,17.200000000000003
-33.80000048875809,5.279999999999999,24.099999999999998
-75.0000011920929,25.25,22.7
-50.399999499320984,10.299999999999999,17.2
-94.19999992847443,17.84,36.300000000000004
-69.80000102519989,17.77,18.5
-12.600000143051147,3.0700000000000003,3.4
-91.60000121593475,16.869999999999997,39.1
-4.099999904632568,4.15,2.0
-17.40000009536743,3.3000000000000003,5.6
-46.700000166893005,8.91,22.8
-35.400000512599945,6.18,26.2
-20.00000023841858,4.35,3.4
-72.20000070333481,22.62,25.100000000000005
-30.20000046491623,9.24,11.799999999999999
-25.100000023841858,6.5,10.4
-103.40000076591969,28.740000000000002,48.099999999999994
-81.49999952316284,14.23,40.0
-13.000000238418579,3.5300000000000002,3.9000000000000004
-50.0000007674098,25.840000000000003,10.299999999999999
-90.89999961853027,12.53,42.699999999999996
-82.60000044107437,19.73,35.4
-72.3000009059906,10.59,25.8
-70.80000042915344,21.62,20.400000000000002
-82.60000044107437,19.73,35.4
-45.20000058412552,9.930000000000001,12.599999999999998
-74.6999996304512,10.38,28.599999999999998
-14.699999988079071,5.01,10.5
-98.20000059902668,17.41,55.5
-57.299999833106995,11.12,14.7
-100.29999966919422,22.58,61.7
-9.00000011920929,5.08,3.2
-61.20000034570694,14.66,14.4
-81.90000081062317,21.560000000000002,33.4
-80.20000123977661,13.72,26.3
-109.19999995827675,22.27,64.8
-57.299999833106995,11.12,14.7
-21.40000021457672,14.33,6.5
-82.00000023841858,12.51,53.2
-108.59999938309193,32.53,54.3
-84.50000049173832,26.100000000000005,27.000000000000007
-109.19999995827675,22.27,64.8
-54.400000154972076,8.5,35.4
-22.90000033378601,8.35,4.1
-90.89999961853027,12.53,42.699999999999996
-40.499999821186066,7.59,20.6
-62.60000079870224,8.96,30.7
-54.400000154972076,8.5,35.4
-104.90000021457672,24.9,56.9
-9.00000011920929,5.08,3.2
-25.700000286102295,4.9,6.1
-91.39999981224537,14.479999999999999,48.400000000000006
-99.9000004529953,17.919999999999998,53.199999999999996
-22.90000033378601,8.35,4.1
-61.300000965595245,11.71,14.6
-100.29999977350235,21.43,63.0
-107.39999963343143,31.93,56.599999999999994
-40.400000751018524,16.98,10.7
-38.00000041723251,9.01,20.599999999999998
-26.900000512599945,4.779999999999999,22.999999999999996
-30.00000011920929,6.529999999999999,10.5
-98.20000059902668,17.41,55.5
-107.3000009059906,25.380000000000003,55.0
-35.899999499320984,8.13,15.200000000000003
-84.99999952316284,15.27,39.2
-39.70000010728836,8.86,18.999999999999996
-74.6999996304512,10.38,28.599999999999998
-39.70000010728836,8.86,18.999999999999996
-107.3000009059906,25.380000000000003,55.0
-104.90000021457672,24.9,56.9
-101.3000009059906,24.36,52.699999999999996
